"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 07- 27","215.32","215.32","215.32","215.32","","0.38%"
"2022- 07- 26","214.50","214.50","214.50","214.50","","-0.50%"
"2022- 07- 25","215.57","215.57","215.57","215.57","","0.03%"
"2022- 07- 22","215.51","215.51","215.51","215.51","","0.56%"
"2022- 07- 21","214.30","214.30","214.30","214.30","","-0.36%"
"2022- 07- 20","215.07","215.07","215.07","215.07","","-0.67%"
"2022- 07- 19","216.53","216.53","216.53","216.53","","1.66%"
"2022- 07- 18","213.00","213.00","213.00","213.00","","0.77%"
"2022- 07- 15","211.38","211.38","211.38","211.38","","1.78%"
"2022- 07- 14","207.69","207.69","207.69","207.69","","-2.04%"
"2022- 07- 13","212.02","212.02","212.02","212.02","","-0.99%"
"2022- 07- 12","214.14","214.14","214.14","214.14","","0.46%"
"2022- 07- 11","213.15","213.15","213.15","213.15","","-1.08%"
"2022- 07- 08","215.47","215.47","215.47","215.47","","1.07%"
"2022- 07- 07","213.18","213.18","213.18","213.18","","1.67%"
"2022- 07- 06","209.68","209.68","209.68","209.68","","1.12%"
"2022- 07- 05","207.36","207.36","207.36","207.36","","-3.09%"
"2022- 07- 04","213.98","213.98","213.98","213.98","","0.20%"
"2022- 07- 01","213.55","213.55","213.55","213.55","","0.60%"
"2022- 06- 30","212.28","212.28","212.28","212.28","","-1.18%"
"2022- 06- 29","214.82","214.82","214.82","214.82","","-0.90%"
"2022- 06- 28","216.78","216.78","216.78","216.78","","0.91%"
"2022- 06- 27","214.83","214.83","214.83","214.83","","-0.19%"
"2022- 06- 24","215.24","215.24","215.24","215.24","","2.30%"
"2022- 06- 23","210.40","210.40","210.40","210.40","","-1.61%"
"2022- 06- 22","213.84","213.84","213.84","213.84","","-1.28%"
"2022- 06- 21","216.62","216.62","216.62","216.62","","-0.35%"
"2022- 06- 20","217.37","217.37","217.37","217.37","","0.41%"
"2022- 06- 17","216.48","216.48","216.48","216.48","","0.56%"
"2022- 06- 16","215.27","215.27","215.27","215.27","","-2.34%"
"2022- 06- 15","220.43","220.43","220.43","220.43","","1.52%"
"2022- 06- 14","217.14","217.14","217.14","217.14","","-0.59%"
"2022- 06- 13","218.43","218.43","218.43","218.43","","-1.65%"
"2022- 06- 10","222.09","222.09","222.09","222.09","","-2.62%"
"2022- 06- 09","228.07","228.07","228.07","228.07","","-1.24%"
"2022- 06- 08","230.94","230.94","230.94","230.94","","-1.15%"
"2022- 06- 07","233.62","233.62","233.62","233.62","","-0.53%"
"2022- 06- 06","234.86","234.86","234.86","234.86","","1.06%"
"2022- 06- 03","232.39","232.39","232.39","232.39","","-0.21%"
"2022- 06- 02","232.88","232.88","232.88","232.88","","0.30%"
"2022- 06- 01","232.18","232.18","232.18","232.18","","-0.57%"
"2022- 05- 31","233.51","233.51","233.51","233.51","","-0.87%"
"2022- 05- 30","235.57","235.57","235.57","235.57","","0.10%"
"2022- 05- 27","235.34","235.34","235.34","235.34","","0.14%"
"2022- 05- 26","235.02","235.02","235.02","235.02","","0.63%"
"2022- 05- 25","233.54","233.54","233.54","233.54","","1.04%"
