"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 04- 06","100.68","100.66","100.93","100.47","","0.11%"
"2020- 04- 03","100.58","100.20","100.85","100.14","","0.40%"
"2020- 04- 02","100.18","99.51","100.41","99.33","","0.51%"
"2020- 04- 01","99.67","99.01","99.84","98.91","","0.63%"
"2020- 03- 31","99.05","99.25","99.95","98.89","","-0.13%"
"2020- 03- 30","99.18","98.31","99.32","98.29","","0.83%"
"2020- 03- 27","98.36","99.29","99.81","98.27","","-0.99%"
"2020- 03- 26","99.35","100.96","101.02","99.24","","-1.68%"
"2020- 03- 25","101.05","101.60","101.91","100.84","","-0.97%"
"2020- 03- 24","102.04","102.13","102.21","101.05","","-0.44%"
"2020- 03- 23","102.49","101.95","102.98","101.65","","-0.32%"
"2020- 03- 20","102.82","102.94","102.99","101.09","","0.06%"
"2020- 03- 19","102.75","100.79","102.94","100.77","","1.58%"
"2020- 03- 18","101.16","99.38","101.74","99.15","","1.59%"
"2020- 03- 17","99.57","98.14","99.83","97.98","","1.54%"
"2020- 03- 16","98.07","98.70","98.70","97.45","","-0.69%"
"2020- 03- 13","98.75","97.45","98.81","97.33","","1.31%"
"2020- 03- 12","97.47","96.65","98.31","96.08","","1.00%"
"2020- 03- 11","96.51","96.33","96.69","95.91","","0.10%"
"2020- 03- 10","96.41","95.34","96.58","95.23","","1.60%"
"2020- 03- 09","94.89","96.11","95.79","94.65","","-1.10%"
"2020- 03- 06","95.95","96.61","96.70","95.71","","-0.90%"
