"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 03- 13","1,529.70","1,576.83","1,597.72","1,506.73","","-3.00%"
"2020- 03- 12","1,577.09","1,634.69","1,650.13","1,560.96","","-3.54%"
"2020- 03- 11","1,635.03","1,649.69","1,670.97","1,632.90","","-0.87%"
"2020- 03- 10","1,649.36","1,678.90","1,680.36","1,642.11","","-1.84%"
"2020- 03- 09","1,680.20","1,694.60","1,703.16","1,657.96","","0.36%"
"2020- 03- 06","1,674.23","1,670.66","1,692.11","1,647.98","","0.22%"
"2020- 03- 05","1,670.61","1,635.83","1,674.66","1,634.92","","2.13%"
"2020- 03- 04","1,635.83","1,639.85","1,651.68","1,631.99","","-0.24%"
"2020- 03- 03","1,639.77","1,590.78","1,649.50","1,587.79","","3.08%"
"2020- 03- 02","1,590.73","1,590.99","1,610.78","1,579.54","","0.35%"
"2020- 02- 28","1,585.12","1,642.14","1,649.49","1,565.86","","-3.48%"
"2020- 02- 27","1,642.35","1,640.56","1,660.44","1,635.66","","0.15%"
"2020- 02- 26","1,639.96","1,635.46","1,655.07","1,625.72","","0.28%"
"2020- 02- 25","1,635.38","1,660.72","1,660.85","1,629.01","","-1.53%"
"2020- 02- 24","1,660.72","1,658.96","1,688.96","1,652.30","","1.04%"
"2020- 02- 21","1,643.70","1,619.79","1,649.14","1,618.99","","1.48%"
"2020- 02- 20","1,619.70","1,611.71","1,623.74","1,603.89","","0.50%"
"2020- 02- 19","1,611.64","1,601.80","1,612.91","1,599.49","","0.61%"
"2020- 02- 18","1,601.91","1,583.31","1,605.35","1,582.96","","1.32%"
"2020- 02- 17","1,581.10","1,584.75","1,584.86","1,578.40","","-0.23%"
"2020- 02- 14","1,584.70","1,576.29","1,585.04","1,573.15","","0.53%"
"2020- 02- 13","1,576.39","1,565.62","1,578.11","1,565.43","","0.69%"
"2020- 02- 12","1,565.63","1,567.73","1,570.48","1,561.46","","-0.13%"
"2020- 02- 11","1,567.72","1,572.01","1,573.96","1,562.18","","-0.29%"
"2020- 02- 10","1,572.30","1,569.94","1,577.16","1,568.01","","0.13%"
"2020- 02- 07","1,570.29","1,566.96","1,574.05","1,562.38","","0.22%"
"2020- 02- 06","1,566.85","1,556.88","1,568.29","1,552.24","","0.65%"
"2020- 02- 05","1,556.70","1,552.57","1,562.31","1,547.20","","0.27%"
"2020- 02- 04","1,552.55","1,576.30","1,579.54","1,548.99","","-1.52%"
"2020- 02- 03","1,576.45","1,589.85","1,591.86","1,571.26","","-0.86%"
"2020- 01- 31","1,590.20","1,574.27","1,590.20","1,570.84","","1.02%"
"2020- 01- 30","1,574.22","1,576.98","1,585.97","1,572.49","","-0.18%"
"2020- 01- 29","1,577.12","1,566.21","1,577.96","1,563.10","","0.69%"
"2020- 01- 28","1,566.24","1,582.05","1,583.17","1,565.64","","-0.99%"
"2020- 01- 27","1,581.95","1,579.99","1,586.72","1,575.59","","0.72%"
"2020- 01- 24","1,570.65","1,563.29","1,575.76","1,556.16","","0.47%"
"2020- 01- 23","1,563.33","1,558.93","1,567.94","1,551.29","","0.28%"
"2020- 01- 22","1,558.91","1,558.03","1,559.35","1,549.81","","0.06%"
"2020- 01- 21","1,558.02","1,560.85","1,568.65","1,546.25","","-0.23%"
"2020- 01- 20","1,561.58","1,558.56","1,562.81","1,556.35","","0.32%"
"2020- 01- 17","1,556.61","1,552.90","1,561.30","1,549.26","","0.25%"
"2020- 01- 16","1,552.79","1,556.17","1,558.14","1,547.85","","-0.22%"
"2020- 01- 15","1,556.19","1,546.26","1,558.23","1,546.01","","0.64%"
"2020- 01- 14","1,546.37","1,548.31","1,548.80","1,535.88","","-0.12%"
"2020- 01- 13","1,548.30","1,562.29","1,562.30","1,546.52","","-0.89%"
"2020- 01- 10","1,562.28","1,552.26","1,563.19","1,545.32","","0.64%"
"2020- 01- 09","1,552.37","1,555.76","1,561.33","1,539.88","","-0.22%"
"2020- 01- 08","1,555.81","1,573.99","1,611.00","1,551.97","","-1.16%"
"2020- 01- 07","1,573.99","1,565.93","1,577.38","1,555.10","","0.51%"
"2020- 01- 06","1,565.96","1,560.59","1,582.69","1,560.59","","0.92%"
"2020- 01- 03","1,551.65","1,529.11","1,553.45","1,527.95","","1.49%"
"2020- 01- 02","1,528.94","1,517.13","1,531.30","1,517.09","","0.77%"
"2020- 01- 01","1,517.30","1,517.26","1,517.48","1,517.20","","-0.01%"
"2019- 12- 31","1,517.39","1,515.51","1,525.59","1,514.79","","0.14%"
"2019- 12- 30","1,515.22","1,511.49","1,516.30","1,509.96","","0.30%"
"2019- 12- 27","1,510.67","1,511.55","1,515.34","1,506.73","","-0.06%"
"2019- 12- 26","1,511.55","1,499.41","1,512.55","1,497.45","","0.80%"
"2019- 12- 25","1,499.55","1,499.55","1,499.55","1,499.55","","0.00%"
"2019- 12- 24","1,499.56","1,486.07","1,501.08","1,484.96","","0.95%"
"2019- 12- 23","1,485.52","1,478.20","1,486.16","1,477.50","","0.50%"
"2019- 12- 20","1,478.20","1,479.29","1,481.06","1,475.50","","-0.06%"
"2019- 12- 19","1,479.15","1,475.29","1,481.90","1,472.60","","0.25%"
"2019- 12- 18","1,475.44","1,476.45","1,479.39","1,470.10","","-0.07%"
"2019- 12- 17","1,476.45","1,476.25","1,480.61","1,474.06","","0.01%"
"2019- 12- 16","1,476.25","1,475.45","1,479.86","1,472.80","","0.03%"
"2019- 12- 13","1,475.81","1,469.62","1,478.00","1,462.41","","0.43%"
"2019- 12- 12","1,469.43","1,474.85","1,486.90","1,464.45","","-0.37%"
"2019- 12- 11","1,474.85","1,464.04","1,478.90","1,462.14","","0.73%"
"2019- 12- 10","1,464.21","1,462.08","1,469.24","1,459.55","","0.15%"
"2019- 12- 09","1,461.99","1,459.19","1,465.50","1,458.55","","0.15%"
"2019- 12- 06","1,459.76","1,475.85","1,477.15","1,458.42","","-1.08%"
"2019- 12- 05","1,475.70","1,474.06","1,480.50","1,472.60","","0.09%"
"2019- 12- 04","1,474.35","1,477.21","1,484.25","1,471.21","","-0.20%"
"2019- 12- 03","1,477.34","1,462.50","1,481.90","1,458.87","","1.02%"
"2019- 12- 02","1,462.44","1,466.73","1,466.73","1,453.70","","-0.16%"
"2019- 11- 29","1,464.80","1,456.70","1,467.21","1,453.38","","0.44%"
"2019- 11- 28","1,458.34","1,456.85","1,458.45","1,454.19","","0.27%"
"2019- 11- 27","1,454.35","1,461.35","1,461.82","1,452.20","","-0.50%"
"2019- 11- 26","1,461.60","1,455.28","1,463.06","1,450.70","","0.46%"
"2019- 11- 25","1,454.97","1,462.14","1,462.14","1,453.50","","-0.50%"
"2019- 11- 22","1,462.29","1,464.40","1,473.15","1,461.00","","-0.14%"
"2019- 11- 21","1,464.40","1,471.40","1,475.85","1,462.43","","-0.47%"
"2019- 11- 20","1,471.25","1,472.39","1,478.90","1,465.66","","-0.08%"
"2019- 11- 19","1,472.38","1,470.85","1,475.50","1,464.30","","0.10%"
"2019- 11- 18","1,470.85","1,467.51","1,474.10","1,455.97","","0.24%"
"2019- 11- 15","1,467.37","1,471.20","1,471.43","1,462.05","","-0.26%"
"2019- 11- 14","1,471.20","1,463.18","1,474.48","1,460.76","","0.55%"
"2019- 11- 13","1,463.19","1,457.19","1,467.14","1,455.90","","0.41%"
"2019- 11- 12","1,457.19","1,455.79","1,460.32","1,445.43","","0.09%"
"2019- 11- 11","1,455.90","1,458.96","1,466.59","1,448.14","","-0.19%"
"2019- 11- 08","1,458.66","1,468.01","1,473.25","1,456.05","","-0.64%"
"2019- 11- 07","1,468.07","1,490.29","1,492.32","1,461.00","","-1.50%"
"2019- 11- 06","1,490.46","1,484.10","1,494.30","1,482.21","","0.43%"
"2019- 11- 05","1,484.10","1,509.64","1,509.90","1,479.35","","-1.69%"
"2019- 11- 04","1,509.63","1,513.80","1,514.93","1,504.46","","-0.29%"
"2019- 11- 01","1,513.95","1,513.53","1,515.81","1,503.30","","0.04%"
"2019- 10- 31","1,513.36","1,496.39","1,514.39","1,493.64","","1.20%"
"2019- 10- 30","1,495.40","1,487.60","1,496.80","1,481.02","","0.52%"
"2019- 10- 29","1,487.60","1,492.64","1,495.00","1,483.71","","-0.34%"
"2019- 10- 28","1,492.69","1,504.21","1,508.36","1,489.65","","-0.80%"
"2019- 10- 25","1,504.73","1,504.75","1,518.10","1,500.55","","0.07%"
"2019- 10- 24","1,503.65","1,492.30","1,504.21","1,488.02","","0.77%"
"2019- 10- 23","1,492.10","1,488.20","1,496.24","1,487.49","","0.27%"
